id,count
0,26.0
1,431.0
2,88.0
4,33.0
5,120.0
10,109.0
11,207.0
12,214.0
15,49.0
17,208.0
18,271.0
23,317.0
25,86.0
26,45.0
31,247.0
39,126.0
40,30.0
41,214.0
42,380.0
43,92.0
51,126.0
52,106.0
54,18.0
60,113.0
61,218.0
62,90.0
63,31.0
65,66.0
66,108.0
68,218.0
71,104.0
80,32.0
82,78.0
94,113.0
98,201.0
101,19.0
102,118.0
107,171.0
112,304.0
113,106.0
115,46.0
116,108.0
120,208.0
121,72.0
122,317.0
132,221.0
143,127.0
147,74.0
150,14.0
151,86.0
152,187.0
153,86.0
155,129.0
156,155.0
159,179.0
161,51.0
163,33.0
177,101.0
186,28.0
188,9.0
190,117.0
191,71.0
192,369.0
195,271.0
200,150.0
209,319.0
210,14.0
211,126.0
214,216.0
215,30.0
218,90.0
219,22.0
222,222.0
225,18.0
228,317.0
236,133.0
241,49.0
242,274.0
243,246.0
245,17.0
247,278.0
251,227.0
252,26.0
253,86.0
254,115.0
258,137.0
260,46.0
261,179.0
265,75.0
266,219.0
267,331.0
269,116.0
270,74.0
275,90.0
278,45.0
279,94.0
286,106.0
287,29.0
288,237.0
289,195.0
293,9.0
294,109.0
297,46.0
302,90.0
303,103.0
304,120.0
307,90.0
309,17.0
311,189.0
312,201.0
314,263.0
315,246.0
319,163.0
322,108.0
323,77.0
325,106.0
327,193.0
330,33.0
332,113.0
333,13.0
338,90.0
341,97.0
345,213.0
348,155.0
349,52.0
350,129.0
352,39.0
355,27.0
356,108.0
358,46.0
363,218.0
369,97.0
371,16.0
372,106.0
375,271.0
380,106.0
388,20.0
391,106.0
392,252.0
393,287.0
394,129.0
396,34.0
401,19.0
407,71.0
409,86.0
410,90.0
416,118.0
418,132.0
420,173.0
421,179.0
422,106.0
424,293.0
428,425.0
429,176.0
431,264.0
435,23.0
439,64.0
441,28.0
447,86.0
449,218.0
451,106.0
452,13.0
454,188.0
458,176.0
463,179.0
467,13.0
470,193.0
471,132.0
474,271.0
478,13.0
483,90.0
484,104.0
485,86.0
486,86.0
491,90.0
494,87.0
495,214.0
497,218.0
499,164.0
515,97.0
518,139.0
521,222.0
525,218.0
529,287.0
532,218.0
534,86.0
540,69.0
544,219.0
547,114.0
549,20.0
563,45.0
564,106.0
567,108.0
572,86.0
577,189.0
578,304.0
585,303.0
588,106.0
589,189.0
590,115.0
592,14.0
594,369.0
596,18.0
598,303.0
599,180.0
605,19.0
606,112.0
607,278.0
608,182.0
609,29.0
610,252.0
611,85.0
614,143.0
615,165.0
616,278.0
617,161.0
618,201.0
624,100.0
629,189.0
631,86.0
633,26.0
637,32.0
638,90.0
643,84.0
644,140.0
645,42.0
646,219.0
648,24.0
650,31.0
651,90.0
652,278.0
656,131.0
657,14.0
659,90.0
660,188.0
662,90.0
665,286.0
675,317.0
681,131.0
682,136.0
685,2.0
686,102.0
689,30.0
696,97.0
703,218.0
704,90.0
705,215.0
714,232.0
717,117.0
718,13.0
720,26.0
721,222.0
723,249.0
726,92.0
728,86.0
730,129.0
731,32.0
734,253.0
737,86.0
738,23.0
745,284.0
746,32.0
749,274.0
752,30.0
753,129.0
758,222.0
765,28.0
766,176.0
768,86.0
769,219.0
774,225.0
775,83.0
781,78.0
784,331.0
794,13.0
795,293.0
796,86.0
802,213.0
803,129.0
805,52.0
806,271.0
807,90.0
809,7.0
810,148.0
812,129.0
814,92.0
818,290.0
819,106.0
825,78.0
836,135.0
839,226.0
847,290.0
848,132.0
851,86.0
852,141.0
853,19.0
857,143.0
858,52.0
859,247.0
861,43.0
